trait	PMID/doi
insomnia_2019	30804565
neuroticism_2016	27089181
risk_taking_behavior_2019	30643258
edu_attainment_2018	30038396
intelligence_2018	29942086
BMI_EUR_2018	30239722
t2dm_2017	28566273
anxiety_2016	26754954
BIP_pgc3_2021	29700475
cdg_2019	30718901
depsx_mdd_2019	34002096
ed_AN2_2019	10.1101/2020.09.12.20192922
mdd_2018	31308545
ptsd_2019	26754954
scz_pgc3_2020	31594949
adhd_2017	31835028
asd_2017	30478444
ocd_2017	30804558
ts_tourette_2018	28761083
cig_per_day_2019	30818990
drinks_per_week_2019	30643251
alcdep_2018	30643251
aud_c_2018	30482948
aud_p_2018	30336701
aud_t_2018	30336701
cannabis_2018	30336701
SA_ISGC_EUR_2021	33096046
self-harm_ideation_2020	34861974
subjective_well_being_2016	27089181
